w1,w2,w3,a1,a2,a3,p_prom,p_no_prom,size_prom,size_no_prom,best_action,value,q_value_prom,q_value_no_prom,q_value_diff
0,0,0,0,0,0,0.109,0.100,49.701,36.574,1,4474.060,4474.060,4456.278,17.782
0,0,0,0,0,1,0.076,0.075,35.718,32.539,1,4483.414,4483.414,4464.645,18.768
0,0,0,0,1,0,0.279,0.250,29.421,29.716,1,4483.755,4483.755,4465.834,17.921
0,0,0,0,1,1,0.235,0.200,23.727,22.144,1,4495.394,4495.394,4472.975,22.419
0,0,0,1,0,0,0.282,0.300,27.874,19.717,1,4477.856,4477.856,4460.397,17.459
0,0,0,1,0,1,0.238,0.225,38.157,35.858,1,4489.667,4489.667,4472.010,17.657
0,0,0,1,1,0,0.425,0.400,25.850,26.113,1,4487.836,4487.836,4470.613,17.223
0,0,0,1,1,1,0.504,0.450,25.444,19.414,1,4503.662,4503.662,4481.219,22.443
0,0,1,0,0,0,0.086,0.075,45.212,42.627,1,4497.314,4497.314,4468.270,29.044
0,0,1,0,0,1,0.058,0.050,38.316,38.591,1,4505.013,4505.013,4478.640,26.373
0,0,1,0,1,0,0.256,0.225,44.326,35.768,1,4510.302,4510.302,4483.882,26.420
0,0,1,0,1,1,0.184,0.175,30.370,28.196,1,4509.616,4509.616,4487.633,21.983
0,0,1,1,0,0,0.249,0.275,32.767,25.769,1,4502.545,4502.545,4473.197,29.348
0,0,1,1,0,1,0.212,0.200,38.051,41.910,1,4511.560,4511.560,4485.092,26.467
0,0,1,1,1,0,0.448,0.375,39.562,32.166,1,4518.511,4518.511,4487.874,30.637
0,0,1,1,1,1,0.494,0.425,33.392,25.466,1,4522.327,4522.327,4495.134,27.194
0,1,0,0,0,0,0.256,0.250,43.985,48.660,1,4487.119,4487.119,4474.682,12.437
0,1,0,0,0,1,0.255,0.225,41.673,44.625,1,4492.335,4492.335,4481.478,10.856
0,1,0,0,1,0,0.459,0.400,39.962,41.802,1,4499.207,4499.207,4478.001,21.206
0,1,0,0,1,1,0.404,0.350,34.769,34.230,1,4499.205,4499.205,4484.527,14.678
0,1,0,1,0,0,0.487,0.450,43.884,31.803,1,4498.360,4498.360,4478.108,20.252
0,1,0,1,0,1,0.355,0.375,46.275,47.944,1,4498.208,4498.208,4490.076,8.132
0,1,0,1,1,0,0.545,0.550,39.952,38.200,1,4504.091,4504.091,4484.039,20.051
0,1,0,1,1,1,0.613,0.600,40.515,31.500,1,4510.571,4510.571,4494.939,15.632
0,1,1,0,0,0,0.213,0.200,34.686,35.493,1,4522.520,4522.520,4474.583,47.936
0,1,1,0,0,1,0.197,0.175,33.040,31.457,1,4528.452,4528.452,4477.166,51.286
0,1,1,0,1,0,0.339,0.350,29.832,28.634,1,4532.164,4532.164,4478.670,53.494
0,1,1,0,1,1,0.278,0.300,26.250,21.062,1,4536.876,4536.876,4486.640,50.236
0,1,1,1,0,0,0.403,0.400,23.731,18.635,1,4526.133,4526.133,4475.313,50.820
0,1,1,1,0,1,0.313,0.325,47.022,34.776,1,4535.703,4535.703,4483.084,52.619
0,1,1,1,1,0,0.499,0.500,24.336,25.032,1,4532.645,4532.645,4482.457,50.189
0,1,1,1,1,1,0.549,0.550,24.655,18.332,1,4538.419,4538.419,4488.012,50.407
1,0,0,0,0,0,0.337,0.300,38.305,30.400,1,4483.333,4483.333,4463.602,19.731
1,0,0,0,0,1,0.255,0.275,35.973,26.365,1,4489.765,4489.765,4471.771,17.994
1,0,0,0,1,0,0.473,0.450,33.072,23.541,1,4492.913,4492.913,4471.349,21.564
1,0,0,0,1,1,0.378,0.400,18.447,15.969,1,4497.333,4497.333,4478.084,19.249
1,0,0,1,0,0,0.479,0.500,15.662,13.542,1,4479.009,4479.009,4463.115,15.895
1,0,0,1,0,1,0.388,0.425,26.401,29.684,1,4490.732,4490.732,4478.874,11.858
1,0,0,1,1,0,0.635,0.600,17.901,19.939,1,4490.107,4490.107,4474.481,15.626
1,0,0,1,1,1,0.674,0.650,18.801,13.239,1,4504.148,4504.148,4484.238,19.910
1,0,1,0,0,0,0.244,0.225,40.122,31.442,1,4504.160,4504.160,4472.926,31.234
1,0,1,0,0,1,0.194,0.200,28.765,27.406,1,4508.999,4508.999,4482.192,26.807
1,0,1,0,1,0,0.440,0.375,23.590,24.583,1,4511.057,4511.057,4485.030,26.027
1,0,1,0,1,1,0.345,0.325,20.101,17.011,1,4511.889,4511.889,4489.194,22.695
1,0,1,1,0,0,0.430,0.425,16.415,14.584,1,4502.493,4502.493,4473.087,29.406
1,0,1,1,0,1,0.397,0.350,38.761,30.725,1,4519.734,4519.734,4487.464,32.270
1,0,1,1,1,0,0.548,0.525,21.708,20.981,1,4513.612,4513.612,4486.804,26.808
1,0,1,1,1,1,0.581,0.575,17.260,14.281,1,4516.354,4516.354,4493.489,22.865
1,1,0,0,0,0,0.437,0.400,29.314,27.183,1,4489.558,4489.558,4474.350,15.208
1,1,0,0,0,1,0.385,0.375,24.974,23.148,1,4491.439,4491.439,4480.778,10.662
1,1,0,0,1,0,0.529,0.550,22.543,20.324,1,4493.991,4493.991,4474.208,19.783
1,1,0,0,1,1,0.502,0.500,18.708,12.752,1,4494.796,4494.796,4481.018,13.778
1,1,0,1,0,0,0.648,0.600,15.923,10.325,1,4488.072,4488.072,4470.952,17.120
1,1,0,1,0,1,0.618,0.525,23.831,26.466,1,4496.734,4496.734,4486.652,10.082
1,1,0,1,1,0,0.793,0.700,24.156,16.722,1,4505.720,4505.720,4476.485,29.235
1,1,0,1,1,1,0.753,0.750,13.298,10.022,1,4496.104,4496.104,4485.651,10.453
1,1,1,0,0,0,0.525,0.450,49.029,53.477,1,4543.228,4543.228,4492.017,51.211
1,1,1,0,0,1,0.502,0.425,62.495,49.442,1,4550.822,4550.822,4492.875,57.948
1,1,1,0,1,0,0.710,0.600,49.151,46.619,1,4553.336,4553.336,4498.774,54.562
1,1,1,0,1,1,0.550,0.550,36.767,39.047,1,4545.088,4545.088,4499.405,45.683
1,1,1,1,0,0,0.756,0.650,47.477,36.620,1,4555.120,4555.120,4492.130,62.990
1,1,1,1,0,1,0.541,0.575,48.539,52.761,1,4545.369,4545.369,4502.319,43.050
1,1,1,1,1,0,0.892,0.750,53.265,43.017,1,4564.212,4564.212,4504.358,59.854
1,1,1,1,1,1,0.814,0.800,32.577,36.317,1,4546.807,4546.807,4504.591,42.216
