;Unnamed: 0;logit;linear;rf_clf;rf_regr;gtb_clf;gtb_regr;kpi;training_set_size
0;0,0;models_features_without_prom/logit_model_10000.sav;models_features_without_prom/linear_model_10000.sav;models_features_without_prom/random_forest_clf_10000.sav;models_features_without_prom/random_forest_regr_10000.sav;models_features_without_prom/gradient_boosting_clf_10000.sav;models_features_without_prom/gradient_boosting_regr_10000.sav;filenames;10000
1;1,0;models_features_without_prom/logit_model_8000.sav;models_features_without_prom/linear_model_8000.sav;models_features_without_prom/random_forest_clf_8000.sav;models_features_without_prom/random_forest_regr_8000.sav;models_features_without_prom/gradient_boosting_clf_8000.sav;models_features_without_prom/gradient_boosting_regr_8000.sav;filenames;8000
2;2,0;models_features_without_prom/logit_model_6000.sav;models_features_without_prom/linear_model_6000.sav;models_features_without_prom/random_forest_clf_6000.sav;models_features_without_prom/random_forest_regr_6000.sav;models_features_without_prom/gradient_boosting_clf_6000.sav;models_features_without_prom/gradient_boosting_regr_6000.sav;filenames;6000
3;3,0;models_features_without_prom/logit_model_5000.sav;models_features_without_prom/linear_model_5000.sav;models_features_without_prom/random_forest_clf_5000.sav;models_features_without_prom/random_forest_regr_5000.sav;models_features_without_prom/gradient_boosting_clf_5000.sav;models_features_without_prom/gradient_boosting_regr_5000.sav;filenames;5000
4;4,0;models_features_without_prom/logit_model_4000.sav;models_features_without_prom/linear_model_4000.sav;models_features_without_prom/random_forest_clf_4000.sav;models_features_without_prom/random_forest_regr_4000.sav;models_features_without_prom/gradient_boosting_clf_4000.sav;models_features_without_prom/gradient_boosting_regr_4000.sav;filenames;4000
5;5,0;models_features_without_prom/logit_model_3000.sav;models_features_without_prom/linear_model_3000.sav;models_features_without_prom/random_forest_clf_3000.sav;models_features_without_prom/random_forest_regr_3000.sav;models_features_without_prom/gradient_boosting_clf_3000.sav;models_features_without_prom/gradient_boosting_regr_3000.sav;filenames;3000
6;6,0;models_features_without_prom/logit_model_2000.sav;models_features_without_prom/linear_model_2000.sav;models_features_without_prom/random_forest_clf_2000.sav;models_features_without_prom/random_forest_regr_2000.sav;models_features_without_prom/gradient_boosting_clf_2000.sav;models_features_without_prom/gradient_boosting_regr_2000.sav;filenames;2000
7;7,0;models_features_without_prom/logit_model_1000.sav;models_features_without_prom/linear_model_1000.sav;models_features_without_prom/random_forest_clf_1000.sav;models_features_without_prom/random_forest_regr_1000.sav;models_features_without_prom/gradient_boosting_clf_1000.sav;models_features_without_prom/gradient_boosting_regr_1000.sav;filenames;1000
8;8,0;models_features_without_prom/logit_model_500.sav;models_features_without_prom/linear_model_500.sav;models_features_without_prom/random_forest_clf_500.sav;models_features_without_prom/random_forest_regr_500.sav;models_features_without_prom/gradient_boosting_clf_500.sav;models_features_without_prom/gradient_boosting_regr_500.sav;filenames;500
9;9,0;models_features_without_prom/logit_model_200.sav;models_features_without_prom/linear_model_200.sav;models_features_without_prom/random_forest_clf_200.sav;models_features_without_prom/random_forest_regr_200.sav;models_features_without_prom/gradient_boosting_clf_200.sav;models_features_without_prom/gradient_boosting_regr_200.sav;filenames;200
10;10,0;models_features_without_prom/logit_model_100.sav;models_features_without_prom/linear_model_100.sav;models_features_without_prom/random_forest_clf_100.sav;models_features_without_prom/random_forest_regr_100.sav;models_features_without_prom/gradient_boosting_clf_100.sav;models_features_without_prom/gradient_boosting_regr_100.sav;filenames;100
11;11,0;models_features_without_prom/logit_model_50.sav;models_features_without_prom/linear_model_50.sav;models_features_without_prom/random_forest_clf_50.sav;models_features_without_prom/random_forest_regr_50.sav;models_features_without_prom/gradient_boosting_clf_50.sav;models_features_without_prom/gradient_boosting_regr_50.sav;filenames;50
accuracy;;0.6402;;0.643;;0.6423;;accuracy;10000
precision;;0.35264;;0.41154;;0.41322;;precision;10000
recall;;0.61847;;0.60409;;0.6021;;recall;10000
f1_score;;0.44917;;0.48956;;0.49009;;f1_score;10000
Explained Variance;;0.50138;;0.5841;;0.60582;;Explained Variance;10000
Mean Squared Error;;0.01675;;0.01397;;0.01324;;Mean Squared Error;10000
Root Mean Squared Error;;0.12941;;0.11819;;0.11506;;Root Mean Squared Error;10000
Mean Absolut Error;;0.10874;;0.09068;;0.08753;;Mean Absolut Error;10000
R2;;0.50131;;0.58406;;0.60578;;R2;10000
Explained Variance;;;0.68097;;0.78558;;0.77153;Explained Variance;10000
Mean Squared Error;;;200.94601;;135.17594;;144.00659;Mean Squared Error;10000
Root Mean Squared Error;;;14.17554;;11.62652;;12.00027;Root Mean Squared Error;10000
Mean Absolut Error;;;11.388;;9.36072;;9.65616;Mean Absolut Error;10000
R2;;;0.68066;;0.78518;;0.77114;R2;10000
accuracy;;0.6402;;0.643;;0.6429;;accuracy;8000
precision;;0.35264;;0.41154;;0.40625;;precision;8000
recall;;0.61847;;0.60409;;0.60552;;recall;8000
f1_score;;0.44917;;0.48956;;0.48626;;f1_score;8000
Explained Variance;;0.50052;;0.57382;;0.60236;;Explained Variance;8000
Mean Squared Error;;0.01677;;0.01431;;0.01335;;Mean Squared Error;8000
Root Mean Squared Error;;0.12952;;0.11963;;0.11556;;Root Mean Squared Error;8000
Mean Absolut Error;;0.10881;;0.09167;;0.0876;;Mean Absolut Error;8000
R2;;0.50048;;0.57381;;0.60233;;R2;8000
Explained Variance;;;0.68061;;0.78377;;0.77012;Explained Variance;8000
Mean Squared Error;;;201.24598;;136.19954;;144.8664;Mean Squared Error;8000
Root Mean Squared Error;;;14.18612;;11.67046;;12.03605;Root Mean Squared Error;8000
Mean Absolut Error;;;11.39657;;9.39408;;9.70381;Mean Absolut Error;8000
R2;;;0.68018;;0.78355;;0.76978;R2;8000
accuracy;;0.6402;;0.6414;;0.6418;;accuracy;6000
precision;;0.35264;;0.40288;;0.4149;;precision;6000
recall;;0.61847;;0.60331;;0.60056;;recall;6000
f1_score;;0.44917;;0.48314;;0.49076;;f1_score;6000
Explained Variance;;0.4939;;0.54706;;0.58824;;Explained Variance;6000
Mean Squared Error;;0.017;;0.01521;;0.01383;;Mean Squared Error;6000
Root Mean Squared Error;;0.13037;;0.12333;;0.11759;;Root Mean Squared Error;6000
Mean Absolut Error;;0.10905;;0.09538;;0.08979;;Mean Absolut Error;6000
R2;;0.49387;;0.54706;;0.58822;;R2;6000
Explained Variance;;;0.68022;;0.7709;;0.76529;Explained Variance;6000
Mean Squared Error;;;201.53867;;144.28502;;147.95231;Mean Squared Error;6000
Root Mean Squared Error;;;14.19643;;12.01187;;12.16357;Root Mean Squared Error;6000
Mean Absolut Error;;;11.39335;;9.66691;;9.79122;Mean Absolut Error;6000
R2;;;0.67971;;0.7707;;0.76487;R2;6000
accuracy;;0.6402;;0.6383;;0.6425;;accuracy;5000
precision;;0.35264;;0.41779;;0.40337;;precision;5000
recall;;0.61847;;0.59257;;0.60556;;recall;5000
f1_score;;0.44917;;0.49006;;0.4842;;f1_score;5000
Explained Variance;;0.49515;;0.54003;;0.58241;;Explained Variance;5000
Mean Squared Error;;0.01695;;0.01545;;0.01402;;Mean Squared Error;5000
Root Mean Squared Error;;0.13021;;0.12429;;0.11842;;Root Mean Squared Error;5000
Mean Absolut Error;;0.10878;;0.09785;;0.09157;;Mean Absolut Error;5000
R2;;0.49515;;0.54001;;0.58239;;R2;5000
Explained Variance;;;0.67969;;0.7677;;0.76516;Explained Variance;5000
Mean Squared Error;;;202.33217;;146.70147;;148.39908;Mean Squared Error;5000
Root Mean Squared Error;;;14.22435;;12.11204;;12.18192;Root Mean Squared Error;5000
Mean Absolut Error;;;11.38986;;9.72558;;9.7929;Mean Absolut Error;5000
R2;;;0.67845;;0.76686;;0.76416;R2;5000
accuracy;;0.6404;;0.6411;;0.6418;;accuracy;4000
precision;;0.34471;;0.40168;;0.4149;;precision;4000
recall;;0.6224;;0.60303;;0.60056;;recall;4000
f1_score;;0.44369;;0.48218;;0.49076;;f1_score;4000
Explained Variance;;0.49593;;0.53392;;0.57623;;Explained Variance;4000
Mean Squared Error;;0.01693;;0.01565;;0.01423;;Mean Squared Error;4000
Root Mean Squared Error;;0.13011;;0.12511;;0.11929;;Root Mean Squared Error;4000
Mean Absolut Error;;0.10887;;0.09945;;0.09271;;Mean Absolut Error;4000
R2;;0.4959;;0.53392;;0.57623;;R2;4000
Explained Variance;;;0.68;;0.76521;;0.76419;Explained Variance;4000
Mean Squared Error;;;201.91366;;148.3247;;148.97548;Mean Squared Error;4000
Root Mean Squared Error;;;14.20963;;12.17886;;12.20555;Root Mean Squared Error;4000
Mean Absolut Error;;;11.39451;;9.76941;;9.79903;Mean Absolut Error;4000
R2;;;0.67912;;0.76428;;0.76325;R2;4000
accuracy;;0.6404;;0.6339;;0.6423;;accuracy;3000
precision;;0.34471;;0.38654;;0.41322;;precision;3000
recall;;0.6224;;0.59183;;0.6021;;recall;3000
f1_score;;0.44369;;0.46765;;0.49009;;f1_score;3000
Explained Variance;;0.50061;;0.47339;;0.56731;;Explained Variance;3000
Mean Squared Error;;0.01678;;0.01773;;0.01456;;Mean Squared Error;3000
Root Mean Squared Error;;0.12953;;0.13314;;0.12068;;Root Mean Squared Error;3000
Mean Absolut Error;;0.10823;;0.10776;;0.09254;;Mean Absolut Error;3000
R2;;0.50038;;0.47215;;0.5663;;R2;3000
Explained Variance;;;0.67848;;0.76067;;0.75904;Explained Variance;3000
Mean Squared Error;;;202.77771;;151.51107;;152.10229;Mean Squared Error;3000
Root Mean Squared Error;;;14.24;;12.30898;;12.33298;Root Mean Squared Error;3000
Mean Absolut Error;;;11.40761;;9.89746;;9.8896;Mean Absolut Error;3000
R2;;;0.67774;;0.75922;;0.75828;R2;3000
accuracy;;0.6371;;0.6321;;0.6403;;accuracy;2000
precision;;0.35192;;0.4101;;0.43774;;precision;2000
recall;;0.61076;;0.58205;;0.59143;;recall;2000
f1_score;;0.44655;;0.48117;;0.50311;;f1_score;2000
Explained Variance;;0.49397;;0.43645;;0.5337;;Explained Variance;2000
Mean Squared Error;;0.01709;;0.01894;;0.01569;;Mean Squared Error;2000
Root Mean Squared Error;;0.13074;;0.13763;;0.12526;;Root Mean Squared Error;2000
Mean Absolut Error;;0.11086;;0.1132;;0.09982;;Mean Absolut Error;2000
R2;;0.49101;;0.43595;;0.53277;;R2;2000
Explained Variance;;;0.6753;;0.75177;;0.74873;Explained Variance;2000
Mean Squared Error;;;204.53858;;156.40586;;158.21315;Mean Squared Error;2000
Root Mean Squared Error;;;14.3017;;12.50623;;12.57828;Root Mean Squared Error;2000
Mean Absolut Error;;;11.47317;;10.04756;;10.08809;Mean Absolut Error;2000
R2;;;0.67495;;0.75144;;0.74857;R2;2000
accuracy;;0.6304;;0.628;;0.6376;;accuracy;1000
precision;;0.39712;;0.45865;;0.45433;;precision;1000
recall;;0.58169;;0.56517;;0.58261;;recall;1000
f1_score;;0.472;;0.50637;;0.51053;;f1_score;1000
Explained Variance;;0.44713;;0.26766;;0.46528;;Explained Variance;1000
Mean Squared Error;;0.01885;;0.02465;;0.01811;;Mean Squared Error;1000
Root Mean Squared Error;;0.1373;;0.157;;0.13458;;Root Mean Squared Error;1000
Mean Absolut Error;;0.11524;;0.1308;;0.11038;;Mean Absolut Error;1000
R2;;0.43861;;0.26598;;0.46068;;R2;1000
Explained Variance;;;0.67319;;0.7196;;0.7306;Explained Variance;1000
Mean Squared Error;;;205.64287;;176.486;;169.59318;Mean Squared Error;1000
Root Mean Squared Error;;;14.34025;;13.2848;;13.02279;Root Mean Squared Error;1000
Mean Absolut Error;;;11.53946;;10.39159;;10.45442;Mean Absolut Error;1000
R2;;;0.67319;;0.71953;;0.73048;R2;1000
accuracy;;0.5994;;0.6238;;0.6125;;accuracy;500
precision;;0.51322;;0.4649;;0.53389;;precision;500
recall;;0.51871;;0.55735;;0.53428;;recall;500
f1_score;;0.51595;;0.50695;;0.53409;;f1_score;500
Explained Variance;;0.34603;;-0.16145;;0.18263;;Explained Variance;500
Mean Squared Error;;0.02303;;0.04003;;0.02871;;Mean Squared Error;500
Root Mean Squared Error;;0.15176;;0.20007;;0.16943;;Root Mean Squared Error;500
Mean Absolut Error;;0.12667;;0.16594;;0.14294;;Mean Absolut Error;500
R2;;0.31421;;-0.19199;;0.14517;;R2;500
Explained Variance;;;0.66902;;0.6752;;0.66565;Explained Variance;500
Mean Squared Error;;;208.34038;;204.57718;;210.81945;Mean Squared Error;500
Root Mean Squared Error;;;14.434;;14.30305;;14.51962;Root Mean Squared Error;500
Mean Absolut Error;;;11.62161;;11.2258;;11.43899;Mean Absolut Error;500
R2;;;0.6689;;0.67489;;0.66496;R2;500
accuracy;;0.6319;;0.6277;;0.6236;;accuracy;200
precision;;0.40649;;0.40288;;0.41611;;precision;200
recall;;0.5825;;0.57496;;0.56458;;recall;200
f1_score;;0.47883;;0.47378;;0.4791;;f1_score;200
Explained Variance;;0.26385;;-0.8558;;-0.28948;;Explained Variance;200
Mean Squared Error;;0.02499;;0.06274;;0.04391;;Mean Squared Error;200
Root Mean Squared Error;;0.15809;;0.25047;;0.20955;;Root Mean Squared Error;200
Mean Absolut Error;;0.13204;;0.19883;;0.1718;;Mean Absolut Error;200
R2;;0.2558;;-0.86815;;-0.30765;;R2;200
Explained Variance;;;0.6152;;0.62746;;0.5592;Explained Variance;200
Mean Squared Error;;;243.66963;;234.47635;;277.70203;Mean Squared Error;200
Root Mean Squared Error;;;15.60992;;15.31262;;16.66439;Root Mean Squared Error;200
Mean Absolut Error;;;12.66782;;12.10733;;13.29303;Mean Absolut Error;200
R2;;;0.61276;;0.62737;;0.55867;R2;200
accuracy;;0.6118;;0.572;;0.6008;;accuracy;100
precision;;0.44207;;0.50048;;0.45481;;precision;100
recall;;0.54088;;0.48599;;0.52323;;recall;100
f1_score;;0.48651;;0.49313;;0.48663;;f1_score;100
Explained Variance;;0.17682;;-1.05766;;-1.195;;Explained Variance;100
Mean Squared Error;;0.02822;;0.06983;;0.07372;;Mean Squared Error;100
Root Mean Squared Error;;0.168;;0.26425;;0.27152;;Root Mean Squared Error;100
Mean Absolut Error;;0.13431;;0.219;;0.22126;;Mean Absolut Error;100
R2;;0.15954;;-1.07932;;-1.19528;;R2;100
Explained Variance;;;0.57585;;0.62012;;0.44052;Explained Variance;100
Mean Squared Error;;;267.0635;;239.94621;;355.5822;Mean Squared Error;100
Root Mean Squared Error;;;16.34208;;15.4902;;18.85689;Root Mean Squared Error;100
Mean Absolut Error;;;13.17255;;12.14937;;14.84682;Mean Absolut Error;100
R2;;;0.57558;;0.61868;;0.43491;R2;100
accuracy;;0.5669;;0.5591;;0.5539;;accuracy;50
precision;;0.54519;;0.41611;;0.50433;;precision;50
recall;;0.48184;;0.46645;;0.46653;;recall;50
f1_score;;0.51156;;0.43984;;0.48469;;f1_score;50
Explained Variance;;-0.79692;;-2.18809;;-3.74209;;Explained Variance;50
Mean Squared Error;;0.06464;;0.11163;;0.16384;;Mean Squared Error;50
Root Mean Squared Error;;0.25424;;0.33411;;0.40477;;Root Mean Squared Error;50
Mean Absolut Error;;0.20959;;0.27903;;0.34813;;Mean Absolut Error;50
R2;;-0.92486;;-2.32412;;-3.87889;;R2;50
Explained Variance;;;0.48715;;0.53207;;0.37039;Explained Variance;50
Mean Squared Error;;;324.1852;;307.06873;;398.65092;Mean Squared Error;50
Root Mean Squared Error;;;18.00514;;17.52338;;19.96624;Root Mean Squared Error;50
Mean Absolut Error;;;14.53571;;13.83658;;15.48795;Mean Absolut Error;50
R2;;;0.4848;;0.51201;;0.36646;R2;50
